method,tasks,n_samples,KA_final,ZS_final,GM_final
finetune,1,1024,37.31,51.05,43.64
finetune,1,2048,37.35,51.38,43.81
finetune,2,1024,38.69,52.24,44.96
finetune,2,2048,37.38,50.41,43.41
finetune,3,1024,38.68,52.28,44.97
finetune,3,2048,36.85,49.37,42.65
finetune,4,1024,38.69,52.36,45.01
finetune,4,2048,36.53,50.21,42.83
finetune,5,1024,38.65,52.25,44.94
finetune,5,2048,36.02,49.38,42.17
ema,1,1024,38.66,52.23,44.93
ema,1,2048,37.35,51.38,43.81
ema,5,2048,3.62,2.14,2.78
ema,5,1024,38.56,51.92,44.74
ema,4,2048,13.88,19.36,16.39
ema,4,1024,37.86,52.04,44.39
ema,3,2048,27.32,38.67,32.5
ema,3,1024,38.74,52.32,45.02
ema,2,2048,34.67,47.68,40.66
ema,2,1024,38.67,52.25,44.95
tda,N.A.,N.A.,36.07,53.05,43.75
vte,N.A.,N.A.,39.88,66.46,51.49
