method,tasks,n_samples,dataset,role,acc_final,zs_baseline,delta_vs_zs
ema,1,1024,clevr,eval,4.6986,5.151090909090909,-0.4525
ema,1,1024,imagenet,eval,65.592,66.14672727272726,-0.5547
ema,1,1024,imagenet_a,eval,23.3067,25.911522727272725,-2.6048
ema,1,1024,imagenet_d,eval,40.6412,41.191131818181816,-0.5499
ema,1,1024,imagenet_r,eval,74.06,74.9322590909091,-0.8723
ema,1,1024,imagenet_s,eval,52.251,53.114804545454554,-0.8638
ema,1,1024,imagenet_v2,eval,57.54,56.23545454545455,1.3045
ema,1,1024,mvtecad_eval,eval,16.5217,16.666672727272726,-0.145
ema,1,1024,plantvillage,eval,28.8187,30.775695454545453,-1.957
ema,1,1024,artbench10,train,15.072,13.974545454545455,1.0975
ema,1,1024,birdsnap,train,46.8723,44.64882727272727,2.2235
ema,1,1024,cifar100,train,75.69,69.78999999999999,5.9
ema,1,1024,clrs,train,59.7288,57.975336363636366,1.7535
ema,1,1024,country211,train,14.455,17.604045454545453,-3.149
ema,1,1024,cub200,train,64.0835,62.978972727272726,1.1045
ema,1,1024,df20mini,train,2.3371,3.251940909090909,-0.9148
ema,1,1024,dollarstreet,train,5.63,5.2002,0.4298
ema,1,1024,domainnet_clipart,train,78.7455,78.53454545454545,0.211
ema,1,1024,domainnet_infograph,train,51.2194,52.71060909090909,-1.4912
ema,1,1024,domainnet_painting,train,72.0366,72.76218636363636,-0.7256
ema,1,1024,domainnet_sketch,train,68.9424,69.53313181818181,-0.5907
ema,1,1024,dtd,train,54.5213,54.54545909090909,-0.0242
ema,1,1024,fgvcaircraft,train,24.4524,25.003368181818185,-0.551
ema,1,1024,flowers102,train,68.4314,66.09177272727271,2.3396
ema,1,1024,fru92,train,49.8261,51.312236363636366,-1.4861
ema,1,1024,inaturalist2021,train,5.352,5.363090909090909,-0.0111
ema,1,1024,mitstates,train,25.4302,24.98922272727273,0.441
ema,1,1024,mtsd,train,20.1099,21.98695,-1.8771
ema,1,1024,objectnet,train,32.3301,33.58896818181818,-1.2589
ema,1,1024,obsc_animals,train,59.0373,59.89427727272727,-0.857
ema,1,1024,obsc_things,train,54.1614,55.38904090909091,-1.2276
ema,1,1024,openimages,train,49.3541,45.95072272727273,3.4034
ema,1,1024,patternnet,train,63.5526,62.589690909090905,0.9629
ema,1,1024,places365,train,41.7217,38.46659090909091,3.2551
ema,1,1024,quilt,train,0.2337,0.27327727272727276,-0.0396
ema,1,1024,resisc45,train,62.2063,63.393249999999995,-1.1869
ema,1,1024,shapes3d,train,16.936,15.518545454545455,1.4175
ema,1,1024,snake_clef,train,0.2408,0.2276090909090909,0.0132
ema,1,1024,sun397,train,68.267,68.7172090909091,-0.4502
ema,1,1024,synthclip106,train,41.0053,42.928427272727276,-1.9231
ema,1,1024,veg200,train,32.16,34.37340909090909,-2.2134
ema,1,1024,zappos50k,train,17.4455,17.60701818181818,-0.1615
ema,1,2048,clevr,eval,4.9203,5.151090909090909,-0.2308
ema,1,2048,imagenet,eval,64.548,66.14672727272726,-1.5987
ema,1,2048,imagenet_a,eval,21.9733,25.911522727272725,-3.9382
ema,1,2048,imagenet_d,eval,40.2482,41.191131818181816,-0.9429
ema,1,2048,imagenet_r,eval,73.5033,74.9322590909091,-1.429
ema,1,2048,imagenet_s,eval,51.3805,53.114804545454554,-1.7343
ema,1,2048,imagenet_v2,eval,56.6,56.23545454545455,0.3645
ema,1,2048,mvtecad_eval,eval,16.2319,16.666672727272726,-0.4348
ema,1,2048,plantvillage,eval,26.3051,30.775695454545453,-4.4706
ema,1,2048,artbench10,train,14.3146,13.974545454545455,0.3401
ema,1,2048,birdsnap,train,45.2927,44.64882727272727,0.6439
ema,1,2048,cifar100,train,68.87,69.78999999999999,-0.92
ema,1,2048,clrs,train,55.8644,57.975336363636366,-2.1109
ema,1,2048,country211,train,14.09,17.604045454545453,-3.514
ema,1,2048,cub200,train,63.4277,62.978972727272726,0.4487
ema,1,2048,df20mini,train,1.7872,3.251940909090909,-1.4647
ema,1,2048,dollarstreet,train,4.9963,5.2002,-0.2039
ema,1,2048,domainnet_clipart,train,77.6637,78.53454545454545,-0.8708
ema,1,2048,domainnet_infograph,train,50.7894,52.71060909090909,-1.9212
ema,1,2048,domainnet_painting,train,71.0343,72.76218636363636,-1.7279
ema,1,2048,domainnet_sketch,train,68.3592,69.53313181818181,-1.1739
ema,1,2048,dtd,train,51.5426,54.54545909090909,-3.0029
ema,1,2048,fgvcaircraft,train,24.3024,25.003368181818185,-0.701
ema,1,2048,flowers102,train,68.2353,66.09177272727271,2.1435
ema,1,2048,fru92,train,48.1522,51.312236363636366,-3.16
ema,1,2048,inaturalist2021,train,5.456,5.363090909090909,0.0929
ema,1,2048,mitstates,train,24.9651,24.98922272727273,-0.0241
ema,1,2048,mtsd,train,19.7665,21.98695,-2.2204
ema,1,2048,objectnet,train,29.3701,33.58896818181818,-4.2189
ema,1,2048,obsc_animals,train,57.3148,59.89427727272727,-2.5795
ema,1,2048,obsc_things,train,53.7411,55.38904090909091,-1.6479
ema,1,2048,openimages,train,48.4464,45.95072272727273,2.4957
ema,1,2048,patternnet,train,59.8947,62.589690909090905,-2.695
ema,1,2048,places365,train,41.6011,38.46659090909091,3.1345
ema,1,2048,quilt,train,0.0876,0.27327727272727276,-0.1857
ema,1,2048,resisc45,train,57.2222,63.393249999999995,-6.171
ema,1,2048,shapes3d,train,16.276,15.518545454545455,0.7575
ema,1,2048,snake_clef,train,0.2338,0.2276090909090909,0.0062
ema,1,2048,sun397,train,68.0907,68.7172090909091,-0.6265
ema,1,2048,synthclip106,train,39.2698,42.928427272727276,-3.6586
ema,1,2048,veg200,train,30.175,34.37340909090909,-4.1984
ema,1,2048,zappos50k,train,16.5997,17.60701818181818,-1.0073
ema,2,1024,clevr,eval,4.7343,5.151090909090909,-0.4168
ema,2,1024,imagenet,eval,65.614,66.14672727272726,-0.5327
ema,2,1024,imagenet_a,eval,23.36,25.911522727272725,-2.5515
ema,2,1024,imagenet_d,eval,40.6412,41.191131818181816,-0.5499
ema,2,1024,imagenet_r,eval,74.0167,74.9322590909091,-0.9156
ema,2,1024,imagenet_s,eval,52.2844,53.114804545454554,-0.8304
ema,2,1024,imagenet_v2,eval,57.57,56.23545454545455,1.3345
ema,2,1024,mvtecad_eval,eval,16.8116,16.666672727272726,0.1449
ema,2,1024,plantvillage,eval,28.8279,30.775695454545453,-1.9478
ema,2,1024,artbench10,train,15.072,13.974545454545455,1.0975
ema,2,1024,birdsnap,train,46.8973,44.64882727272727,2.2485
ema,2,1024,cifar100,train,75.54,69.78999999999999,5.75
ema,2,1024,clrs,train,59.7966,57.975336363636366,1.8213
ema,2,1024,country211,train,14.4123,17.604045454545453,-3.1917
ema,2,1024,cub200,train,64.0318,62.978972727272726,1.0528
ema,2,1024,df20mini,train,2.2821,3.251940909090909,-0.9698
ema,2,1024,dollarstreet,train,5.7031,5.2002,0.5029
ema,2,1024,domainnet_clipart,train,78.7455,78.53454545454545,0.211
ema,2,1024,domainnet_infograph,train,51.245,52.71060909090909,-1.4656
ema,2,1024,domainnet_painting,train,72.0549,72.76218636363636,-0.7073
ema,2,1024,domainnet_sketch,train,68.9233,69.53313181818181,-0.6098
ema,2,1024,dtd,train,54.3617,54.54545909090909,-0.1838
ema,2,1024,fgvcaircraft,train,24.3624,25.003368181818185,-0.641
ema,2,1024,flowers102,train,68.2353,66.09177272727271,2.1435
ema,2,1024,fru92,train,49.8043,51.312236363636366,-1.5079
ema,2,1024,inaturalist2021,train,5.324,5.363090909090909,-0.0391
ema,2,1024,mitstates,train,25.4395,24.98922272727273,0.4503
ema,2,1024,mtsd,train,20.1099,21.98695,-1.8771
ema,2,1024,objectnet,train,32.2802,33.58896818181818,-1.3088
ema,2,1024,obsc_animals,train,59.0845,59.89427727272727,-0.8098
ema,2,1024,obsc_things,train,54.1614,55.38904090909091,-1.2276
ema,2,1024,openimages,train,49.3658,45.95072272727273,3.4151
ema,2,1024,patternnet,train,63.9737,62.589690909090905,1.384
ema,2,1024,places365,train,41.7409,38.46659090909091,3.2743
ema,2,1024,quilt,train,0.2295,0.27327727272727276,-0.0438
ema,2,1024,resisc45,train,62.3333,63.393249999999995,-1.0599
ema,2,1024,shapes3d,train,17.1,15.518545454545455,1.5815
