method,tasks,n_samples,rows,mean_acc_final,std_acc_final,mean_delta,std_delta
ema,1,1024,9.0,40.38,23.65,-0.74,1.1
ema,1,2048,9.0,39.52,23.55,-1.6,1.63
ema,2,1024,9.0,40.43,23.6,-0.7,1.12
ema,2,2048,9.0,36.16,22.64,-4.97,2.54
ema,3,1024,9.0,40.52,23.58,-0.61,1.13
ema,3,2048,9.0,29.15,19.35,-11.97,5.24
ema,4,1024,9.0,40.03,23.62,-1.09,1.22
ema,4,2048,9.0,16.1,9.64,-25.03,15.98
ema,5,1024,9.0,40.39,23.47,-0.74,1.05
ema,5,2048,9.0,2.62,1.92,-38.51,23.31
finetune,1,1024,9.0,39.71,23.03,-1.42,1.18
finetune,1,2048,9.0,39.52,23.55,-1.6,1.63
finetune,2,1024,9.0,40.42,23.59,-0.7,1.11
finetune,2,2048,9.0,38.71,23.25,-2.41,1.6
finetune,3,1024,9.0,40.44,23.64,-0.68,1.1
finetune,3,2048,9.0,38.19,23.08,-2.94,1.49
finetune,4,1024,9.0,40.52,23.6,-0.6,1.11
finetune,4,2048,9.0,38.77,23.19,-2.36,1.03
finetune,5,1024,9.0,40.35,23.68,-0.78,1.09
finetune,5,2048,9.0,37.67,23.26,-3.46,1.83
tda,N.A.,N.A.,9.0,47.48,26.23,6.36,22.83
vte,N.A.,N.A.,9.0,48.45,29.29,7.33,10.38
