group,imagenet_r,imagenet,imagenet_v2,imagenet_s,plantvillage,imagenet_a,imagenet_d,mvtecad_eval,clevr
vte|tN.A.|nN.A.,8.871,13.0913,10.7545,11.1584,-10.6118,22.3152,15.0654,-4.2029,-0.474
tda|tN.A.|nN.A.,9.3844,-2.2067,-36.3055,5.5914,45.5893,29.8885,-5.5758,1.5942,9.2664
finetune|t4|n1024,-0.8823,-0.4827,1.4345,-0.8324,-1.7913,-2.4182,-0.1777,0.1449,-0.4239
ema|t3|n1024,-0.899,-0.5147,1.2745,-0.8127,-1.7268,-2.6715,0.0292,0.1449,-0.3024
finetune|t3|n1024,-0.9256,-0.5207,1.3545,-0.8147,-1.736,-2.6182,-0.3018,-0.145,-0.4454
ema|t2|n1024,-0.9156,-0.5327,1.3345,-0.8304,-1.9478,-2.5515,-0.5499,0.1449,-0.4168
finetune|t2|n1024,-0.9023,-0.5487,1.3345,-0.8285,-1.957,-2.5248,-0.6327,0.1449,-0.3953
ema|t5|n1024,-0.9856,-0.7407,0.8045,-0.9287,-0.0879,-3.0182,-1.1704,-0.145,-0.3524
ema|t1|n1024,-0.8723,-0.5547,1.3045,-0.8638,-1.957,-2.6048,-0.5499,-0.145,-0.4525
finetune|t5|n1024,-0.8823,-0.5767,1.2645,-0.7675,-2.1135,-2.5648,-0.5086,-0.4348,-0.4096
ema|t4|n1024,-0.8723,-1.2387,0.7445,-1.7167,-3.1263,-2.4048,0.2153,-1.0145,-0.4382
finetune|t1|n1024,-2.2723,-1.9067,-0.0455,-1.8208,-1.202,-3.0848,-2.1218,0.7246,-1.0104
finetune|t1|n2048,-1.429,-1.5987,0.3645,-1.7324,-4.4614,-3.9382,-0.9429,-0.4348,-0.2308
ema|t1|n2048,-1.429,-1.5987,0.3645,-1.7343,-4.4706,-3.9382,-0.9429,-0.4348,-0.2308
finetune|t4|n2048,-1.8123,-3.0207,-1.4055,-2.5459,-2.5463,-3.4448,-4.066,-1.3044,-1.0819
finetune|t2|n2048,-2.289,-2.2007,-0.5255,-2.9468,-5.0783,-3.4448,-3.673,-1.5942,0.0409
finetune|t3|n2048,-2.8856,-3.2027,-1.6055,-3.5284,-2.6107,-5.4582,-4.6037,-1.8841,-0.6742
finetune|t5|n2048,-2.579,-3.8047,-2.0555,-3.3339,-6.1187,-4.3248,-5.1415,-3.9131,0.1553
ema|t2|n2048,-4.9623,-5.3887,-3.7655,-6.4112,-9.3596,-5.6715,-5.2449,-4.2029,0.2912
ema|t3|n2048,-14.059,-17.9307,-16.1555,-15.2599,-14.1106,-12.6582,-9.4641,-6.8116,-1.325
ema|t4|n2048,-39.2523,-43.1067,-37.5255,-40.8587,-18.9168,-18.3648,-22.2666,-2.1739,-2.7625
ema|t5|n2048,-70.639,-64.4267,-54.6455,-52.1205,-23.9623,-24.6448,-38.2335,-13.7681,-4.1427
